epoch,followers,following,media,accessibility_caption,comments_disabled,liked_by,is_video,location,taken_at,caption
1548680264.8251204,1920,710,208,1 person standing,False,244,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
1548680416.5957196,1920,710,208,1 person standing,False,245,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
1548681011.3521268,1920,710,208,1 person standing,False,246,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
1548681610.9102771,1920,710,208,1 person standing,False,247,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
1548682211.4086742,1920,710,208,1 person standing,False,247,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
1548682811.3210125,1920,710,208,1 person standing,False,247,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
1548683410.6685696,1920,710,208,1 person standing,False,247,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
1548684011.8616796,1920,710,208,1 person standing,False,247,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
1548684611.3930204,1920,710,208,1 person standing,False,247,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
1548685211.2841175,1920,710,208,1 person standing,False,247,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
1548685813.7019792,1920,710,208,1 person standing,False,247,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
1548686411.7049534,1920,710,208,1 person standing,False,247,False,,1548160820,always in a good mood :yellow_heart:......#pic #potd #ootd #ootdfashion #oodtinspiration #fashion #jeansjacket #60sfashion #colourful #photographylover #photography #gntm2019 #germanysnexttopmodel #wabde #curlyhair #curlyhairstyles #curls #girl #igcurls
