epoch,followers,following,media
1548298802.0870934,113086,215,364
1548299401.7826178,113085,215,364
1548300001.8165777,113085,215,364
1548300601.8579254,113085,215,364
1548301202.2029557,113087,215,364
1548301802.2400985,113088,215,364
1548302402.289817,113090,215,364
1548303001.924893,113092,215,364
1548303601.9764748,113089,215,364
1548304201.9992287,113090,215,364
1548304801.659162,113088,215,364
1548305401.6617913,113091,215,364
1548306001.7218227,113090,215,364
1548306602.3569465,113093,215,364
1548307202.3992085,113094,215,364
1548307802.265828,113095,215,364
1548308401.5983963,113098,215,364
1548309001.6716585,113097,215,364
1548309601.6540363,113096,215,364
1548310202.3479655,113099,215,364
1548310802.4122798,113101,215,364
1548311402.4376361,113103,215,364
1548312001.750331,113106,215,364
1548312601.786316,113106,215,364
1548313201.8348525,113109,215,364
1548313802.511596,113113,215,364
1548314402.566716,113113,215,364
1548315001.5818083,113115,215,364
1548315602.2301936,113117,215,364
1548316202.2651966,113118,215,364
1548316802.3179162,113120,215,364
1548317401.954595,113121,215,364
1548318001.9911675,113121,215,364
1548318602.0316777,113122,215,364
1548319201.693294,113125,215,364
1548319801.7206945,113128,215,364
1548320401.7419436,113130,215,364
1548321002.392902,113131,215,364
1548321602.4675891,113131,215,364
1548322202.46317,113133,215,364
1548322801.815157,113135,215,364
1548323401.859531,113136,215,364
1548324001.884133,113137,215,364
1548324602.534612,113141,215,364
1548325201.5782216,113141,215,364
1548325801.6016753,113143,215,364
1548326402.2679408,113143,215,364
1548327002.2822492,113141,215,364
1548327602.3302438,113145,215,364
1548328201.9696956,113148,215,364
1548328802.0261345,113148,215,364
1548329402.0508032,113148,215,364
1548330002.3825116,113150,215,364
1548330602.430637,113149,215,364
1548331202.4445753,113154,215,364
1548331802.0896401,113154,215,364
1548332402.1706738,113160,215,364
1548333002.1908553,113163,215,364
1548333601.8707101,113169,215,364
1548334201.8934782,113168,215,364
1548334801.9102318,113173,215,364
1548335402.2417383,113174,215,364
1548336002.2944405,113174,215,364
1548336602.3522868,113177,215,364
1548337201.6503725,113176,215,364
1548337801.6887603,113174,215,364
1548338401.7017498,113175,215,364
1548339002.3656354,113175,215,364
1548339602.4173028,113177,215,364
1548340202.491884,113183,215,364
1548340802.1181753,113183,215,364
1548341402.1435182,113185,215,364
1548342002.2033396,113184,215,364
1548342602.5349479,113185,215,364
1548343201.5846477,113185,215,364
1548343801.6087608,113183,215,364
1548344401.9393218,113186,215,364
1548345001.985724,113188,215,364
1548345602.028503,113186,215,365
1548346201.6811435,113176,215,365
1548346802.2148647,113173,215,365
1548347401.749384,113172,215,365
1548348002.4083223,113167,215,365
1548348602.4364238,113169,215,365
1548349202.5039852,113168,215,365
1548349802.1363947,113167,215,365
1548350402.166014,113168,215,365
1548351002.2136896,113167,215,365
1548351601.8721447,113165,215,365
1548352201.9114017,113164,215,365
1548352801.93166,113163,215,365
1548353402.570771,113159,215,365
1548354001.6243076,113157,215,365
1548354601.658671,113162,215,365
1548355202.0191882,113163,215,365
1548355802.033689,113164,215,365
1548356402.056937,113168,215,365
1548357001.683956,113168,215,365
1548357601.7359772,113172,215,365
1548358201.7609067,113171,215,365
1548358802.0928025,113170,215,365
1548359402.1381414,113169,215,365
1548360002.1960661,113171,215,365
1548360601.8301783,113172,215,365
1548361201.8697717,113175,215,365
1548361801.902783,113174,215,365
1548362402.5347517,113177,215,365
1548363601.5918648,113175,215,365
1548364201.9163437,113176,215,365
1548364801.9838603,113179,215,365
1548365402.034526,113181,215,365
1548366001.6462853,113179,215,365
1548366601.667974,113178,215,365
1548367201.71866,113177,215,365
1548367802.3618302,113177,215,365
1548368402.411959,113207,215,365
1548369002.4602625,113208,215,365
1548369602.0973554,113209,215,365
1548370202.1206756,113209,215,365
1548370802.2215288,113209,215,365
1548371402.527792,113210,215,365
1548372001.577802,113210,215,365
1548372601.6135757,113211,215,365
1548373202.2273471,113214,215,365
1548373802.26911,113214,216,365
1548374402.3109617,113214,216,365
1548375001.6217418,113213,216,365
1548375601.6727982,113214,216,365
1548376201.7078817,113211,216,365
1548376802.3376527,113208,216,365
1548377402.3808444,113207,216,365
1548378002.4134896,113207,216,365
1548378602.0758533,113208,216,365
1548379202.1097815,113210,216,365
1548379802.131885,113213,216,365
1548380402.4742074,113212,216,365
1548381002.4998658,113213,216,365
1548381602.5907516,113213,216,365
1548382202.192975,113212,216,365
1548382802.2416837,113212,216,365
1548383402.2612572,113212,216,365
1548384001.8973317,113210,216,365
1548384601.9611404,113209,216,365
1548385201.981544,113209,216,365
1548385802.342515,113212,216,365
1548386402.4046257,113212,216,365
1548387002.4276068,113213,216,365
1548387601.760065,113214,216,365
1548388201.8036232,113215,216,365
1548388801.836785,113214,216,365
1548389402.4605448,113213,216,365
1548390002.5173984,113216,216,365
1548390602.5644708,113215,216,365
1548391202.2382088,113216,216,365
1548391802.2829645,113214,216,365
