epoch,followers,following,media
1548298802.0870934,3,1,0
1548299401.7826178,3,1,0
1548300001.8165777,3,1,0
1548300601.8579254,3,1,0
1548301202.2029557,3,1,0
1548301802.2400985,3,1,0
1548302402.289817,3,1,0
1548303001.924893,3,1,0
1548303601.9764748,3,1,0
1548304201.9992287,3,1,0
1548304801.659162,3,1,0
1548305401.6617913,3,1,0
1548306001.7218227,3,1,0
1548306602.3569465,3,1,0
1548307202.3992085,3,1,0
1548307802.265828,3,1,0
1548308401.5983963,3,1,0
1548309001.6716585,3,1,0
1548309601.6540363,3,1,0
1548310202.3479655,3,1,0
1548310802.4122798,3,1,0
1548311402.4376361,3,1,0
1548312001.750331,3,1,0
1548312601.786316,3,1,0
1548313201.8348525,3,1,0
1548313802.511596,3,1,0
1548314402.566716,3,1,0
1548315001.5818083,3,1,0
1548315602.2301936,3,1,0
1548316202.2651966,3,1,0
1548316802.3179162,3,1,0
1548317401.954595,3,1,0
1548318001.9911675,3,1,0
1548318602.0316777,3,1,0
1548319201.693294,3,1,0
1548319801.7206945,3,1,0
1548320401.7419436,3,1,0
1548321002.392902,3,1,0
1548321602.4675891,3,1,0
1548322202.46317,3,1,0
1548322801.815157,3,1,0
1548323401.859531,3,1,0
1548324001.884133,3,1,0
1548324602.534612,3,1,0
1548325201.5782216,3,1,0
1548325801.6016753,3,1,0
1548326402.2679408,3,1,0
1548327002.2822492,3,1,0
1548327602.3302438,3,1,0
1548328201.9696956,3,1,0
1548328802.0261345,3,1,0
1548329402.0508032,3,1,0
1548330002.3825116,3,1,0
1548330602.430637,3,1,0
1548331202.4445753,3,1,0
1548331802.0896401,3,1,0
1548332402.1706738,3,1,0
1548333002.1908553,3,1,0
1548333601.8707101,3,1,0
1548334201.8934782,3,1,0
1548334801.9102318,3,1,0
1548335402.2417383,3,1,0
1548336002.2944405,3,1,0
1548336602.3522868,3,1,0
1548337201.6503725,3,1,0
1548337801.6887603,3,1,0
1548338401.7017498,3,1,0
1548339002.3656354,3,1,0
1548339602.4173028,3,1,0
1548340202.491884,3,1,0
1548340802.1181753,3,1,0
1548341402.1435182,3,1,0
1548342002.2033396,3,1,0
