epoch,followers,following,media,accessibility_caption,comments_disabled,liked_by,is_video,location,taken_at,caption
1548723065.163675,1331,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548723626.1526997,1331,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548724226.5835953,1331,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548724833.8209903,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548725435.2657456,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548726035.860806,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548726626.9031656,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548727231.8915272,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548727825.3832452,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548728426.2872806,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548729030.1583111,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548729628.9107401,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548730234.3992522,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548730837.9774563,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548731425.0986228,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548732026.8015082,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548732625.2966237,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548733237.786604,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548733827.0959463,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548734426.0523767,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548735027.6979346,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548735627.5734873,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548736227.0186958,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548736825.8322182,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548737426.405369,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548738028.6199594,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548738626.2900076,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548739225.7795427,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548739829.576777,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548740425.603385,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548741025.710592,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548741627.2591872,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548742225.0941515,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548742826.110184,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548743426.196171,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548744026.7758472,1329,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548744628.901409,1330,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548745229.0563703,1330,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548745825.9621005,1330,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548746426.785179,1330,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548747025.6088545,1330,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548747626.1607304,1330,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
1548748225.374336,1330,579,24,1 person sitting and indoor,False,454,False,,1548502751,;) @lizalippert
