epoch,followers,following,media
1548523202.3595011,2866,186,123
1548523802.4165056,2867,186,123
1548524401.741096,2867,186,123
1548525001.7657979,2868,186,123
1548525601.7920449,2868,186,123
1548526202.14013,2871,186,123
1548526802.1770735,2871,186,123
1548527402.2148163,2871,186,123
1548528001.8598435,2871,186,123
1548528601.8825219,2872,186,123
1548529201.9212372,2873,186,123
1548529802.5621989,2874,186,123
1548530401.6177764,2874,186,123
1548531001.6334498,2874,186,123
1548531602.280587,2874,186,123
1548532202.3211417,2873,186,123
1548532802.4387732,2874,186,123
1548533402.021038,2873,186,123
1548534002.0549285,2874,186,123
1548534602.108845,2874,186,123
1548535201.746278,2876,186,123
1548535801.7737863,2878,186,123
1548536401.790787,2879,186,123
1548537002.4396439,2881,186,123
1548537602.4845831,2882,186,123
1548538202.5201578,2884,186,123
1548538801.8494823,2886,186,123
1548539401.8816388,2886,186,123
1548540001.90186,2885,186,123
1548540602.2300825,2887,186,123
1548541202.2864752,2887,186,123
1548541802.324953,2887,186,123
1548542401.640108,2888,186,123
1548543001.686575,2888,186,123
1548543601.8123033,2888,186,123
1548544202.0768151,2888,186,123
1548544802.1498635,2889,186,123
1548545402.1522403,2889,186,123
1548546001.8144815,2889,186,123
1548546601.8199844,2889,186,123
1548547201.8527646,2889,186,123
1548547802.5115938,2889,186,123
1548548402.5501661,2889,186,123
1548549001.5882766,2890,186,123
1548549601.9055262,2890,186,123
1548550201.9333768,2890,186,123
1548550801.9583886,2891,186,123
1548551402.2823677,2891,186,123
1548552002.3085868,2891,186,123
1548552602.3463454,2891,186,123
1548553201.666102,2891,186,123
1548553801.6854002,2891,186,123
1548554401.8044112,2891,186,123
1548555002.0765085,2892,186,123
1548555602.111451,2892,186,123
1548556202.1461885,2892,186,123
1548556801.8041978,2892,186,123
1548557401.8239193,2892,186,123
1548558001.85096,2892,186,123
1548558602.1813846,2892,186,123
1548559202.2238395,2892,186,123
1548559802.2426467,2892,186,123
1548560401.917774,2892,186,123
1548561001.936983,2892,186,123
1548561601.9695628,2892,186,123
1548562202.3062065,2892,186,123
1548562802.3728743,2892,186,123
1548563402.3918824,2892,186,123
1548564002.064319,2892,186,123
1548564602.0938363,2892,186,123
1548565202.1778755,2892,186,123
1548565801.7437794,2892,186,123
1548566401.80949,2892,186,123
1548567002.2776077,2892,186,123
1548567601.9607246,2892,186,123
1548568201.6800005,2892,186,123
1548568801.720616,2892,186,123
1548569402.058282,2892,186,123
1548570002.0868523,2893,186,123
1548571201.7762837,2893,186,123
1548571801.8332868,2893,186,123
1548572401.846818,2893,186,123
1548573002.4970691,2893,186,123
1548573602.558501,2893,186,123
1548574202.5754442,2893,186,123
1548574802.2442062,2893,186,123
1548575402.2620668,2893,186,123
